"Date","High price","Low price","Closing price"
"2022-05-19","2054.44","2022.57","2049.80"
"2022-05-20","2091.27","2061.90","2080.89"
"2022-05-23","2111.23","2082.35","2092.81"
"2022-05-24","2098.69","2070.22","2077.30"
"2022-05-25","2099.47","2065.11","2067.25"
"2022-05-26","2067.34","2061.49","2064.25"
"2022-05-27","2108.63","2081.79","2108.19"
"2022-05-30","2164.78","2135.11","2153.70"
"2022-05-31","2143.55","2120.14","2125.65"
"2022-06-01","2136.94","2107.76","2117.40"
"2022-06-02","2141.43","2119.45","2137.81"
"2022-06-03","2161.35","2141.15","2141.84"
"2022-06-06","2149.15","2142.02","2146.26"
"2022-06-07","2165.48","2145.77","2165.42"
"2022-06-08","2175.44","2144.02","2158.36"
"2022-06-09","2149.45","2121.76","2122.17"
"2022-06-10","2111.57","2067.33","2074.41"
"2022-06-13","2059.06","2016.99","2022.59"
"2022-06-14","2048.04","1991.40","1991.70"
"2022-06-15","2027.80","1993.58","2013.60"
"2022-06-16","2010.59","1942.57","1949.76"
"2022-06-17","1983.94","1949.98","1957.63"
"2022-06-20","1989.56","1958.13","1989.56"
"2022-06-21","2019.64","1998.41","2003.31"
"2022-06-22","1993.27","1965.94","1987.66"
"2022-06-23","1976.08","1945.29","1955.85"
"2022-06-24","1984.71","1960.53","1982.52"
"2022-06-27","2039.48","2016.02","2035.59"
"2022-06-28","2048.32","2014.52","2017.43"
"2022-06-29","2013.03","1981.07","2009.37"
"2022-06-30","1988.69","1956.96","1978.63"
"2022-07-01","1999.79","1956.49","1987.49"
"2022-07-04","2012.75","1995.40","1998.41"
"2022-07-05","2016.77","1966.14","1979.56"
"2022-07-06","2025.25","1998.21","2020.39"
"2022-07-07","2056.78","2028.01","2055.84"
"2022-07-08","2066.84","2034.49","2066.23"
"2022-07-11","2060.61","2037.81","2055.64"
"2022-07-12","2079.71","2042.10","2079.71"
"2022-07-13","2074.60","2034.46","2055.87"
"2022-07-14","2048.06","2021.07","2031.23"
"2022-07-15","2060.81","2028.37","2059.61"
"2022-07-18","2099.14","2068.85","2093.17"
"2022-07-19","2113.61","2063.88","2113.19"
"2022-07-20","2130.41","2103.09","2109.31"
"2022-07-21","2136.92","2106.17","2134.16"
"2022-07-22","2143.04","2122.88","2136.43"
"2022-07-25","2139.24","2125.43","2126.43"
"2022-07-26","2140.05","2124.13","2130.92"
"2022-07-27","2142.75","2119.16","2127.14"
"2022-07-28","2169.96","2140.44","2169.96"
"2022-07-29","2207.76","2174.90","2205.44"
"2022-08-01","2210.25","2186.18","2194.94"
"2022-08-02","2187.69","2171.00","2178.66"
"2022-08-03","2184.30","2135.58","2145.15"
"2022-08-04","2173.90","2141.27","2170.14"
"2022-08-05","2171.54","2133.61","2133.74"
"2022-08-08","2153.02","2131.37","2141.11"
"2022-08-09","2146.30","2117.86","2125.94"
"2022-08-10","2170.61","2115.69","2170.20"
"2022-08-11","2185.97","2167.54","2178.68"
"2022-08-12","2184.23","2151.19","2151.19"
"2022-08-15","2171.52","2151.14","2158.69"
"2022-08-16","2172.20","2156.87","2163.87"
"2022-08-17","2173.50","2144.21","2147.39"
"2022-08-18","2158.31","2136.76","2147.83"
"2022-08-19","2161.23","2142.97","2142.97"
"2022-08-22","2144.46","2106.18","2126.67"
"2022-08-23","2129.92","2113.25","2119.04"
"2022-08-24","2145.50","2100.74","2136.02"
